"Location","Parameter","AltitudeGroup","LanduseGroup","Median","LAWAState","Region","Scope","StateGroup"
"1000005","TON","All","Forest","0.07",2,"West Coast","Catchment","Catchment|Forest"
"1000005","TN","All","Forest","0.1985",2,"West Coast","Catchment","Catchment|Forest"
"1000005","DRP","All","Forest","0.002",1,"West Coast","Catchment","Catchment|Forest"
"1000005","TP","All","Forest","0.0068",1,"West Coast","Catchment","Catchment|Forest"
"1000005","ECOLI","All","Forest","23",2,"West Coast","Catchment","Catchment|Forest"
"1000005","BDISC","Lowland","Forest","2.71",2,"West Coast","Catchment","Catchment|Lowland|Forest"
"1000005","TURB","Lowland","Forest","1.62",2,"West Coast","Catchment","Catchment|Lowland|Forest"
"1000005","NH4","Lowland","Forest","0.004",1,"West Coast","Catchment","Catchment|Lowland|Forest"
"1000005","TON","Lowland","Forest","0.07",2,"West Coast","Catchment","Catchment|Lowland|Forest"
"1000005","TN","Lowland","Forest","0.1985",2,"West Coast","Catchment","Catchment|Lowland|Forest"
"1000005","DRP","Lowland","Forest","0.002",1,"West Coast","Catchment","Catchment|Lowland|Forest"
"1000005","TP","Lowland","Forest","0.0068",1,"West Coast","Catchment","Catchment|Lowland|Forest"
"1000005","ECOLI","Lowland","Forest","23",1,"West Coast","Catchment","Catchment|Lowland|Forest"
"1000008","BDISC","All","All","1.64",3,"Otago","Catchment","Catchment|All"
"1000008","TURB","All","All","2.39",3,"Otago","Catchment","Catchment|All"
"1000008","NH4","All","All","0.005",1,"Otago","Catchment","Catchment|All"
"1000008","TON","All","All","0.0283",1,"Otago","Catchment","Catchment|All"
"1000008","TN","All","All","0.084",1,"Otago","Catchment","Catchment|All"
"1000008","DRP","All","All","0.003",1,"Otago","Catchment","Catchment|All"
"1000008","TP","All","All","0.0145",2,"Otago","Catchment","Catchment|All"
"1000008","ECOLI","All","All","15",1,"Otago","Catchment","Catchment|All"
"1000008","BDISC","Upland","All","1.35",4,"Otago","Catchment","Catchment|Upland"
"1000008","TURB","Upland","All","2.2",3,"Otago","Catchment","Catchment|Upland"
"1000008","NH4","Upland","All","0.005",1,"Otago","Catchment","Catchment|Upland"
"1000008","TON","Upland","All","0.0235",1,"Otago","Catchment","Catchment|Upland"
"1000008","TN","Upland","All","0.07",1,"Otago","Catchment","Catchment|Upland"
"1000008","DRP","Upland","All","0.0025",1,"Otago","Catchment","Catchment|Upland"
"1000008","TP","Upland","All","0.0145",2,"Otago","Catchment","Catchment|Upland"
"1000008","ECOLI","Upland","All","7",1,"Otago","Catchment","Catchment|Upland"
"1000008","BDISC","Lowland","All","1.79",2,"Otago","Catchment","Catchment|Lowland"
"1000008","TURB","Lowland","All","3.48",3,"Otago","Catchment","Catchment|Lowland"
"1000008","NH4","Lowland","All","0.005",1,"Otago","Catchment","Catchment|Lowland"
"1000008","TON","Lowland","All","0.052",1,"Otago","Catchment","Catchment|Lowland"
"1000008","TN","Lowland","All","0.1535",1,"Otago","Catchment","Catchment|Lowland"
"1000008","DRP","Lowland","All","0.004",1,"Otago","Catchment","Catchment|Lowland"
"1000008","TP","Lowland","All","0.011",1,"Otago","Catchment","Catchment|Lowland"
"1000008","ECOLI","Lowland","All","44",1,"Otago","Catchment","Catchment|Lowland"
"1000008","BDISC","All","Rural","1.64",2,"Otago","Catchment","Catchment|Rural"
"1000008","TURB","All","Rural","2.89",3,"Otago","Catchment","Catchment|Rural"
"1000008","NH4","All","Rural","0.005",1,"Otago","Catchment","Catchment|Rural"
"1000008","TON","All","Rural","0.029",1,"Otago","Catchment","Catchment|Rural"
"1000008","TN","All","Rural","0.084",1,"Otago","Catchment","Catchment|Rural"
"1000008","DRP","All","Rural","0.0025",1,"Otago","Catchment","Catchment|Rural"
"1000008","TP","All","Rural","0.0115",1,"Otago","Catchment","Catchment|Rural"
"1000008","ECOLI","All","Rural","21",1,"Otago","Catchment","Catchment|Rural"
"1000008","NH4","All","Forest","0.008",3,"Otago","Catchment","Catchment|Forest"
"1000008","TON","All","Forest","0.023",1,"Otago","Catchment","Catchment|Forest"
"1000008","TN","All","Forest","0.076",1,"Otago","Catchment","Catchment|Forest"
"1000008","DRP","All","Forest","0.003",1,"Otago","Catchment","Catchment|Forest"
"1000008","TP","All","Forest","0.031",4,"Otago","Catchment","Catchment|Forest"
"1000008","ECOLI","All","Forest","7",1,"Otago","Catchment","Catchment|Forest"
"1000008","NH4","Upland","Forest","0.008",3,"Otago","Catchment","Catchment|Upland|Forest"
"1000008","TON","Upland","Forest","0.023",1,"Otago","Catchment","Catchment|Upland|Forest"
"1000008","TN","Upland","Forest","0.076",1,"Otago","Catchment","Catchment|Upland|Forest"
"1000008","DRP","Upland","Forest","0.003",1,"Otago","Catchment","Catchment|Upland|Forest"
"1000008","TP","Upland","Forest","0.031",4,"Otago","Catchment","Catchment|Upland|Forest"
"1000008","ECOLI","Upland","Forest","7",1,"Otago","Catchment","Catchment|Upland|Forest"
"1000008","BDISC","Lowland","Rural","1.79",2,"Otago","Catchment","Catchment|Lowland|Rural"
"1000008","TURB","Lowland","Rural","3.48",3,"Otago","Catchment","Catchment|Lowland|Rural"
"1000008","NH4","Lowland","Rural","0.005",1,"Otago","Catchment","Catchment|Lowland|Rural"
"1000008","TON","Lowland","Rural","0.052",1,"Otago","Catchment","Catchment|Lowland|Rural"
"1000008","TN","Lowland","Rural","0.1535",1,"Otago","Catchment","Catchment|Lowland|Rural"
"1000008","DRP","Lowland","Rural","0.004",1,"Otago","Catchment","Catchment|Lowland|Rural"
"1000008","TP","Lowland","Rural","0.011",1,"Otago","Catchment","Catchment|Lowland|Rural"
"1000008","ECOLI","Lowland","Rural","44",1,"Otago","Catchment","Catchment|Lowland|Rural"
"1000021","BDISC","All","All","3.59",1,"Hawkes Bay","Catchment","Catchment|All"
"1000021","TURB","All","All","2.21",3,"Hawkes Bay","Catchment","Catchment|All"
"1000021","NH4","All","All","0.0035",1,"Hawkes Bay","Catchment","Catchment|All"
"1000021","TON","All","All","0.0408",1,"Hawkes Bay","Catchment","Catchment|All"
"1000021","TN","All","All","0.0985",1,"Hawkes Bay","Catchment","Catchment|All"
"1000021","DRP","All","All","0.0045",1,"Hawkes Bay","Catchment","Catchment|All"
"1000021","TP","All","All","0.012",2,"Hawkes Bay","Catchment","Catchment|All"
"1000021","ECOLI","All","All","14",1,"Hawkes Bay","Catchment","Catchment|All"
"1000021","BDISC","Upland","All","6.1",1,"Hawkes Bay","Catchment","Catchment|Upland"
"1000021","TURB","Upland","All","1.02",2,"Hawkes Bay","Catchment","Catchment|Upland"
"1000021","NH4","Upland","All","0.002",1,"Hawkes Bay","Catchment","Catchment|Upland"
"1000021","TON","Upland","All","0.006",1,"Hawkes Bay","Catchment","Catchment|Upland"
"1000021","TN","Upland","All","0.046",1,"Hawkes Bay","Catchment","Catchment|Upland"
"1000021","DRP","Upland","All","0.002",1,"Hawkes Bay","Catchment","Catchment|Upland"
"1000021","TP","Upland","All","0.004",1,"Hawkes Bay","Catchment","Catchment|Upland"
"1000021","ECOLI","Upland","All","3",1,"Hawkes Bay","Catchment","Catchment|Upland"
"1000021","BDISC","Lowland","All","1.09",3,"Hawkes Bay","Catchment","Catchment|Lowland"
"1000021","TURB","Lowland","All","3.4",3,"Hawkes Bay","Catchment","Catchment|Lowland"
"1000021","NH4","Lowland","All","0.005",1,"Hawkes Bay","Catchment","Catchment|Lowland"
"1000021","TON","Lowland","All","0.0755",1,"Hawkes Bay","Catchment","Catchment|Lowland"
"1000021","TN","Lowland","All","0.151",1,"Hawkes Bay","Catchment","Catchment|Lowland"
"1000021","DRP","Lowland","All","0.007",2,"Hawkes Bay","Catchment","Catchment|Lowland"
"1000021","TP","Lowland","All","0.02",2,"Hawkes Bay","Catchment","Catchment|Lowland"
"1000021","ECOLI","Lowland","All","26",1,"Hawkes Bay","Catchment","Catchment|Lowland"
"1000021","BDISC","All","Rural","1.09",3,"Hawkes Bay","Catchment","Catchment|Rural"
"1000021","TURB","All","Rural","3.4",3,"Hawkes Bay","Catchment","Catchment|Rural"
"1000021","NH4","All","Rural","0.005",1,"Hawkes Bay","Catchment","Catchment|Rural"
"1000021","TON","All","Rural","0.0755",1,"Hawkes Bay","Catchment","Catchment|Rural"
"1000021","TN","All","Rural","0.151",1,"Hawkes Bay","Catchment","Catchment|Rural"
"1000021","DRP","All","Rural","0.007",2,"Hawkes Bay","Catchment","Catchment|Rural"
"1000021","TP","All","Rural","0.02",2,"Hawkes Bay","Catchment","Catchment|Rural"
"1000021","ECOLI","All","Rural","26",1,"Hawkes Bay","Catchment","Catchment|Rural"
"1000021","BDISC","All","Forest","6.1",1,"Hawkes Bay","Catchment","Catchment|Forest"
"1000021","TURB","All","Forest","1.02",2,"Hawkes Bay","Catchment","Catchment|Forest"
"1000021","NH4","All","Forest","0.002",1,"Hawkes Bay","Catchment","Catchment|Forest"
"1000021","TON","All","Forest","0.006",1,"Hawkes Bay","Catchment","Catchment|Forest"
"1000021","TN","All","Forest","0.046",1,"Hawkes Bay","Catchment","Catchment|Forest"
"1000021","DRP","All","Forest","0.002",1,"Hawkes Bay","Catchment","Catchment|Forest"
"1000021","TP","All","Forest","0.004",1,"Hawkes Bay","Catchment","Catchment|Forest"
"1000021","ECOLI","All","Forest","3",1,"Hawkes Bay","Catchment","Catchment|Forest"
"1000021","BDISC","Upland","Forest","6.1",1,"Hawkes Bay","Catchment","Catchment|Upland|Forest"
"1000021","TURB","Upland","Forest","1.02",2,"Hawkes Bay","Catchment","Catchment|Upland|Forest"
"1000021","NH4","Upland","Forest","0.002",1,"Hawkes Bay","Catchment","Catchment|Upland|Forest"
"1000021","TON","Upland","Forest","0.006",1,"Hawkes Bay","Catchment","Catchment|Upland|Forest"
"1000021","TN","Upland","Forest","0.046",1,"Hawkes Bay","Catchment","Catchment|Upland|Forest"
"1000021","DRP","Upland","Forest","0.002",1,"Hawkes Bay","Catchment","Catchment|Upland|Forest"
"1000021","TP","Upland","Forest","0.004",1,"Hawkes Bay","Catchment","Catchment|Upland|Forest"
"1000021","ECOLI","Upland","Forest","3",1,"Hawkes Bay","Catchment","Catchment|Upland|Forest"
"1000021","BDISC","Lowland","Rural","1.09",3,"Hawkes Bay","Catchment","Catchment|Lowland|Rural"
"1000021","TURB","Lowland","Rural","3.4",3,"Hawkes Bay","Catchment","Catchment|Lowland|Rural"
"1000021","NH4","Lowland","Rural","0.005",1,"Hawkes Bay","Catchment","Catchment|Lowland|Rural"
"1000021","TON","Lowland","Rural","0.0755",1,"Hawkes Bay","Catchment","Catchment|Lowland|Rural"
"1000021","TN","Lowland","Rural","0.151",1,"Hawkes Bay","Catchment","Catchment|Lowland|Rural"
