"","SiteID","CouncilSiteID","LawaSiteID","SWQuality","SWQAltitude","SWQLanduse","SWQFrequencyAll","SWQFrequencyLast5","Region","Agency","Lat","Long"
"55","Nukuhou at Old Quarry","MK283728","EBOP-00011","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-38.079460107068","177.136212187178"
"56","Ohau Channel at SH33","FL230406","EBOP-00012","Yes","Upland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-38.0439971161231","176.330840055897"
"57","Omanawa at SH29","DO047598","EBOP-00013","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.7545342603477","176.070120033999"
"58","Otamatea at Wairere Rd","FD445529","EBOP-00102","Yes","Upland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-38.7519290511337","176.388310645361"
"59","Otara at Browns Bridge","OK300616","EBOP-00014","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-38.0811717506377","177.366198500991"
"60","Pongakawa at Old Coach Rd","GN849464","EBOP-00017","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.8534811960477","176.506195407174"
"61","Pongakawa at Pumphouse","GM781934","EBOP-00047","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-37.9013550234117","176.500737085208"
"62","Pongakawa at SH2","GN922883","EBOP-00016","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-37.8155217087343","176.512698416166"
"63","Puarenga at FRI","EK598179","EBOP-00019","Yes","Upland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-38.1564389941754","176.263799380814"
"64","Rangitaiki at Aniwhenua Canal","JI148319","LAWA-100396","Yes","Lowland","Native","Quarterly","Quarterly","Bay of Plenty","BOPRC","-38.308112112467","176.79087706243"
"65","Rangitaiki at Matahina Dam","JK491452","LAWA-100397","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-38.1150203795324","176.819978908605"
"66","Rangitaiki at SH5 ","FC231176","EBOP-00104","Yes","Upland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-38.8743772139806","176.369370465762"
"67","Rangitaiki at Te Teko","JL350292","EBOP-00049","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-38.0400378942047","176.800003428746"
"68","Rangitaiki River at Murupara","IG265664","EBOP-00048","Yes","Upland","Exotic","Monthly","Monthly","Bay of Plenty","BOPRC","-38.4601551204011","176.69768552677"
"69","Raukokore at SH35","SO991920","EBOP-00022","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-37.6736212535426","177.873695915599"
"70","Rocky Stream at Mangatawa Lane","EP623312","EBOP-00023","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.6944799012024","176.246312200819"
"71","Tarawera at Awakaponga","JM102399","EBOP-00050","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-37.9414091255637","176.766690971962"
"72","Tarawera at Kawerau Bridge","IK564876","EBOP-00024","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-38.0802784158219","176.712421137622"
"73","Tarawera at SH30 ","IL818464","EBOP-00025","Yes","Lowland","Exotic","Monthly","Monthly","Bay of Plenty","BOPRC","-38.0265092686686","176.738648828543"
"74","Tarawera River at Lake Outlet","GJ662805","EBOP-00051","Yes","Upland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-38.1832613030459","176.500596760016"
"75","Tauranga at Ranger Station","LI953392","EBOP-00103","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-38.2908003479183","177.110507683301"
"76","Tauranga at Taneatua Bridge","LK149881","EBOP-00031","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-38.0701442364387","177.006514019474"
"77","Te Mania at SH2","BQ711622","EBOP-00026","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.5851497196765","175.911808371647"
"78","Te Rereatukahia at SH2","BQ708712","EBOP-00027","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.5770915770481","175.911188609567"
"79","Tuapiro at Hikurangi Rd","BR809582","EBOP-00028","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.4984489368448","175.919507525151"
"80","Uretara at Henry Rd Ford","BQ723939","EBOP-00052","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.5565881128289","175.912099144522"
"81","Waiau at Waiau Rd Ford","BS961133","EBOP-00030","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.4484483244256","175.934796941143"
"82","Waimapu 100m d/s of SH29 ","DO688849","EBOP-00033","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.7381884351537","176.141918776596"
"83","Waimapu at Pukemapu Rd","DO712717","EBOP-00032","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.7507801226566","176.14544731734"
"84","Waioeka at Gorge Mouth","NK608503","EBOP-00044","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-38.094286346682","177.288046746424"
"85","Waiotahe at Toone Rd","ML715056","LAWA-100395","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-38.048228714927","177.183676915395"
"86","Waipapa at Old Highway","CP466747","EBOP-00035","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.6617415079616","176.000395344288"
"87","Wairoa at SH2","DP281304","EBOP-00037","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.6992169435331","176.094403671783"
"88","Wairoa d/s of Ruahihi Powerstation","CO938527","EBOP-00036","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-37.7701834581922","176.058395583913"
"89","Waitahanui at Otamarakau Marae","HN674689","EBOP-00038","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.8304503881097","176.598798594433"
"90","Waitao at 172 Waitao Rd","EO451883","EBOP-00039","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.7336210997026","176.228499689903"
"91","Waitekohe at SH2","BQ739463","EBOP-00040","Yes","Lowland","Rural","Monthly","Monthly","Bay of Plenty","BOPRC","-37.5993647067078","175.915601617197"
"92","Whakatane at Pekatahi Bridge","KL998150","EBOP-00042","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-38.0465484125758","176.987968121962"
"93","Whakatane at Ruatoki ","LK082095","EBOP-00041","Yes","Lowland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-38.1410629954322","177.002809818585"
"94","Whirinaki at Galatea","IG619428","EBOP-00053","Yes","Upland","Native","Monthly","Monthly","Bay of Plenty","BOPRC","-38.4798169932264","176.747577277343"
"95","SQ10005","Omarama Stream SH8 ","ECAN-00117","YES","Upland","Natural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-44.4894355649462","169.958016379993"
"96","SQ10012","Willowburn Quailburn Road","ECAN-00001","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-44.4586301907871","169.97260986077"
"97","SQ10037","Sutherlands Creek Ben Omar Road","ECAN-00002","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-44.4652166189312","170.037831854473"
"98","SQ10057","Hakataramea River Cattle Creek","ECAN-00003","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-44.5092472731712","170.680355669389"
"99","SQ10160","Maerewhenua River SH83","ECAN-00118","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-44.8564892125055","170.689990368707"
"100","SQ10167","Otiake River Mt Bell Station","ECAN-00119","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-44.8176989846388","170.50919364857"
"101","SQ10174","Penticotico Stream SH83","ECAN-00121","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-44.8158925847643","170.636526368922"
"102","SQ10275","Maryburn SH8 Bridge","ECAN-00123","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-44.1748748918999","170.323269065486"
"103","SQ10301","Otematata River SH83","ECAN-00124","YES","Upland","Rural","Quarterly","Monthly","Canterbury","Environment Canterbury Regional Council","-44.6045296540194","170.20287675089"
"104","SQ10804","Wairepo Creek Arm Inlet","ECAN-00007","YES","Upland","Exotic","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-44.3045802099325","170.07036660935"
"105","SQ10814","Cattle Creek Morland Settlement Road","ECAN-00008","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-44.5088735237057","170.675748147957"
"106","SQ10818","Deadman Stream Hakataramea Valley Road","ECAN-00010","YES","Upland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-44.5979984596371","170.635451651469"
"107","SQ20104","Ashburton River SH1","ECAN-00014","YES","Lowland","Urban","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-43.9094403266989","171.737127472654"
"108","SQ20106","Ashburton River North Branch Digbys Bridge","ECAN-00016","YES","Lowland","Rural","Quarterly","Quarterly","Canterbury","Environment Canterbury Regional Council","-43.8537979761184","171.731047656313"
